production_id	level	changed	split	sentence_text_from	sentence_text_to
1	NAT->STR	N	N	O ano era 1978.	O ano era 1978.
1	NAT->STR	S	N	As salas de cinema de todo o mundo exibiam uma produção do diretor Joe Dante.	As salas de cinema de todo o mundo exibiam um filme do diretor Joe Dante.
1	NAT->STR	S	S	Na produção do diretor Joe Dante, um cardume de piranhas escapava de um laboratório militar e atacava participantes de um festival aquático.	No filme, um cardume de piranhas escapava de um laboratório militar.
1	NAT->STR	S	S	Na produção do diretor Joe Dante, um cardume de piranhas escapava de um laboratório militar e atacava participantes de um festival aquático.	O cardume de piranhas atacava participantes de um festival aquático.
1	NAT->STR	S	S	Quase 30 anos depois, banhistas assustados estão se afastando do principal balneário de Uruguaiana, na Fronteira Oeste.	Quase 30 anos depois, banhistas assustados estão se afastando do principal balneário de Uruguaiana.
1	NAT->STR	S	S	Quase 30 anos depois, banhistas assustados estão se afastando do principal balneário de Uruguaiana, na Fronteira Oeste.	O balneário fica na Fronteira Oeste.
1	NAT->STR	S	N	Mais de 20 pessoas foram mordidas por palometas (Serrasalmus spilopleura, espécie de piranha).	Palometas (espécie de piranha) morderam mais de 20 pessoas.
1	NAT->STR	S	S	As palometas vivem nas águas da barragem Sanchuri, na margem da Br-472, a 40 quilômetros da cidade.	As palometas vivem nas águas da barragem Sanchuri.
1	NAT->STR	S	S	As palometas vivem nas águas da barragem Sanchuri, na margem da Br-472, a 40 quilômetros da cidade.	A barragem Sanchuri fica na margem da Br-472.
1	NAT->STR	S	S	As palometas vivem nas águas da barragem Sanchuri, na margem da Br-472, a 40 quilômetros da cidade.	A barragem Sanchuri fica a 40 quilômetros da cidade.
1	NAT->STR	N	N	-- Os ataques se tornaram mais freqüentes.	-- Os ataques se tornaram mais freqüentes.
1	NAT->STR	S	N	Por isso, aconselhamos mais cautela -- diz o subprefeito Nei Pinto.	Por isso, aconselhamos mais cuidado -- diz o subprefeito Nei Pinto.
1	NAT->STR	N	N	As mordidas em pés e canelas de banhistas não são novidade.	As mordidas em pés e canelas de banhistas não são novidade.
1	NAT->STR	N	N	O aumento no número de ataques em relação aos outros anos chamou a atenção das autoridades.	O aumento no número de ataques em relação aos outros anos chamou a atenção das autoridades.
1	NAT->STR	S	S	-- Um amigo meu ficou sem a ponta de um dedo -- conta o adolescente Lindomar Menezes, 15 anos.	-- Um amigo meu ficou sem a ponta de um dedo -- conta o adolescente Lindomar Menezes.
1	NAT->STR	S	S	-- Um amigo meu ficou sem a ponta de um dedo -- conta o adolescente Lindomar Menezes, 15 anos.	Lindomar Menezes tem 15 anos.
1	NAT->STR	S	N	Ele e amigos, como Giovane Silva Ferreira, 13 anos, passam as tardes pescando o peixe.	Ele e amigos passam as tardes pescando o peixe.
1	NAT->STR	S	N	Depois, o peixe é levado para uma associação de artesãos.	Em seguida, eles levam o peixe para uma associação de artesãos.
1	NAT->STR	S	N	A associação de artesãos faz o curtimento da pele do animal.	A associação de artesãos faz o curtimento da pele do peixe.
1	NAT->STR	N	N	Com o fim da piracema, será realizado no domingo o torneio Combate à Palometa.	Com o fim da piracema, será realizado no domingo o torneio Combate à Palometa.
1	NAT->STR	S	N	A piracema é o período em que a pesca é proibida.	A piracema é o período de pesca proibida.
1	NAT->STR	S	N	Pescadores tentarão retirar o maior número de peixes da espécie.	Pescadores tentarão retirar o maior número de palometas.
1	NAT->STR	S	N	A espécie pode atingir 20 centímetros de comprimento e um quilo.	A palometa pode atingir 20 centímetros de comprimento e um quilo.
1	NAT->STR	S	N	O evento ainda não tem autorização do Instituto Brasileiro do Meio Ambiente e Recursos Naturais Renováveis.	O torneio ainda não tem autorização do Instituto Brasileiro do Meio Ambiente e Recursos Naturais Renováveis.
1	NAT->STR	S	N	Segundo o chefe substituto do escritório regional, ainda há tempo para o pedido de licença.	O chefe substituto do escritório regional disse que ainda dá tempo de pedir a licença.
1	NAT->STR	N	N	O chefe substituto do escritório regional é Guaracy Cunha.	O chefe substituto do escritório regional é Guaracy Cunha.
1	NAT->STR	S	N	-- Elas atacam mais nos locais em que o pessoal das excursões lava mãos e pratos após as refeições -- diz Adalberto Silva.	-- Elas atacam mais nos locais em que o pessoal das excursões lava mãos e pratos depois das refeições -- diz Adalberto Silva.
1	NAT->STR	N	N	Adalberto Silva é presidente da associação dos moradores da localidade.	Adalberto Silva é presidente da associação dos moradores da localidade.
1	NAT->STR	S	N	Silva adquiriu uma tela de retenção com 150 metros.	Silva comprou uma tela de retenção com 150 metros.
1	NAT->STR	S	N	A tela deve ser instalada para isolar o trecho da barragem mais usado pelos banhistas.	A tela deve ser instalada para separar o lugar da barragem mais usado pelos banhistas.
1	NAT->STR	S	N	O trecho tem 3,7 mil hectares de área.	O lugar tem 3,7 mil hectares de área.
2	NAT->STR	N	N	O boné é um dos itens da roupa imaginada pela proposta.	O boné é um dos itens da roupa imaginada pela proposta.
2	NAT->STR	N	N	Um projeto em discussão no Congresso criou uma polêmica em escolas, prefeituras e secretarias de educação.	Um projeto em discussão no Congresso criou uma polêmica em escolas, prefeituras e secretarias de educação.
2	NAT->STR	N	N	O projeto prevê a distribuição gratuita de uniforme para alunos da rede pública.	O projeto prevê a distribuição gratuita de uniforme para alunos da rede pública.
2	NAT->STR	S	N	A proposta cria uma discussão sobre a inclusão do boné no conjunto obrigatório.	A proposta cria uma discussão sobre a inclusão do boné no uniforme obrigatório.
2	NAT->STR	N	N	Além disso, a proposta reanima o debate sobre a obrigação de uma roupa igual para todos os alunos.	Além disso, a proposta reanima o debate sobre a obrigação de uma roupa igual para todos os alunos.
2	NAT->STR	N	N	A proposta também renova a preocupação com a falta de recursos públicos.	A proposta também renova a preocupação com a falta de recursos públicos.
2	NAT->STR	N	N	O projeto ainda precisa passar pela Câmara dos Deputados e pela Presidência da República antes de entrar em vigor.	O projeto ainda precisa passar pela Câmara dos Deputados e pela Presidência da República antes de entrar em vigor.
2	NAT->STR	N	N	O boné problemático entrou no projeto graças a uma emenda aprovada na Comissão de Educação do Senado em outubro.	O boné problemático entrou no projeto graças a uma emenda aprovada na Comissão de Educação do Senado em outubro.
2	NAT->STR	N	N	A emenda é do senador Cícero Lucena.	A emenda é do senador Cícero Lucena.
2	NAT->STR	N	N	Cícero Lucena é do PSDB-PB.	Cícero Lucena é do PSDB-PB.
