production_id	level	changed	split	sentence_text_from	sentence_text_to
1	ORI->NAT	N	N	O ano era 1978.	O ano era 1978.
1	ORI->NAT	N	N	Quase 30 anos depois, banhistas assustados estão se afastando do principal balneário de Uruguaiana, na Fronteira Oeste.	Quase 30 anos depois, banhistas assustados estão se afastando do principal balneário de Uruguaiana, na Fronteira Oeste.
1	ORI->NAT	N	N	-- Os ataques se tornaram mais freqüentes.	-- Os ataques se tornaram mais freqüentes.
1	ORI->NAT	N	N	Por isso, aconselhamos mais cautela -- diz o subprefeito Nei Pinto.	Por isso, aconselhamos mais cautela -- diz o subprefeito Nei Pinto.
1	ORI->NAT	N	N	As mordidas em pés e canelas de banhistas não são novidade.	As mordidas em pés e canelas de banhistas não são novidade.
1	ORI->NAT	S	N	O que chamou a atenção das autoridades foi o aumento no número de ataques em relação aos outros anos.	O aumento no número de ataques em relação aos outros anos chamou a atenção das autoridades.
1	ORI->NAT	N	N	-- Um amigo meu ficou sem a ponta de um dedo -- conta o adolescente Lindomar Menezes, 15 anos.	-- Um amigo meu ficou sem a ponta de um dedo -- conta o adolescente Lindomar Menezes, 15 anos.
1	ORI->NAT	N	N	O evento ainda não tem autorização do Instituto Brasileiro do Meio Ambiente e Recursos Naturais Renováveis.	O evento ainda não tem autorização do Instituto Brasileiro do Meio Ambiente e Recursos Naturais Renováveis.
2	ORI->NAT	S	N	Acessório utilizado por adolescentes, o boné é um dos itens que compõem a vestimenta idealizada pela proposta.	O boné é um dos itens da roupa imaginada pela proposta.
2	ORI->NAT	S	N	A matéria ainda precisa passar pela Câmara dos Deputados e pela Presidência da República antes de entrar em vigor.	O projeto ainda precisa passar pela Câmara dos Deputados e pela Presidência da República antes de entrar em vigor.
2	ORI->NAT	N	N	Ele defende a medida como forma de proteger crianças e adolescentes dos males provocados pelo excesso de exposição aos raios solares.	Ele defende a medida como forma de proteger crianças e adolescentes dos males provocados pelo excesso de exposição aos raios solares.
2	ORI->NAT	S	N	Se a idéia for aprovada, os estudantes receberão dois conjuntos anuais, completados por calçado, meias, calça e camiseta.	Se a idéia for aprovada, os estudantes receberão dois conjuntos anuais, completados com calçado, meias, calça e camiseta.
2	ORI->NAT	N	N	-- A gurizada precisa se habituar a se proteger do sol.	-- A gurizada precisa se habituar a se proteger do sol.
2	ORI->NAT	S	N	É muito mais barato do que adotar outra medida preventiva -- avalia Arns.	É muito mais barato do que adotar outra medida para evitar os males causados pelo sol -- avalia Arns.
2	ORI->NAT	S	N	Professores ainda temem que a distribuição do acessório dificulte a imposição, nas classes, de uma regra da boa conduta:	Professores temem também que a distribuição de boné torne difícil impor nas classes uma regra da boa maneira de se comportar:
2	ORI->NAT	S	N	A retirada de chapéus e bonés da cabeça em ambientes fechados.	Retirar chapéus e bonés da cabeça em ambientes fechados.
2	ORI->NAT	S	N	Na Federação das Associações de Municípios do RS (Famurs) e na Secretaria Estadual de Educação (Sec), a preocupação reside em outro ponto.	A preocupação está em outro ponto na Federação das Associações de Municípios do RS (Famurs) e na Secretaria Estadual de Educação (Sec).
2	ORI->NAT	S	N	Eles se inquietam com a fonte para custear os gastos milionários com a medida.	Elas se preocupam com o dinheiro para pagar os gastos de milhões de reais com a medida.
2	ORI->NAT	N	N	-- Não podemos acrescentar nenhuma despesa no nosso orçamento.	-- Não podemos acrescentar nenhuma despesa no nosso orçamento.
