production_id	level	changed	split	sentence_text_from	sentence_text_to
1	ORI->NAT	N	N	O ano era 1978.	O ano era 1978.
1	ORI->NAT	S	S	As salas de cinema de todo o mundo exibiam uma produção do diretor Joe Dante em que um cardume de piranhas escapava de um laboratório militar e atacava participantes de um festival aquático.	As salas de cinema de todo o mundo exibiam uma produção do diretor Joe Dante.
1	ORI->NAT	S	S	As salas de cinema de todo o mundo exibiam uma produção do diretor Joe Dante em que um cardume de piranhas escapava de um laboratório militar e atacava participantes de um festival aquático.	Na produção do diretor Joe Dante, um cardume de piranhas escapava de um laboratório militar e atacava participantes de um festival aquático.
1	ORI->NAT	N	N	Quase 30 anos depois, banhistas assustados estão se afastando do principal balneário de Uruguaiana, na Fronteira Oeste.	Quase 30 anos depois, banhistas assustados estão se afastando do principal balneário de Uruguaiana, na Fronteira Oeste.
1	ORI->NAT	S	S	Mais de 20 pessoas foram mordidas por palometas (Serrasalmus spilopleura, espécie de piranha) que vivem nas águas da barragem Sanchuri, na margem da Br-472, a 40 quilômetros da cidade.	Mais de 20 pessoas foram mordidas por palometas (Serrasalmus spilopleura, espécie de piranha).
1	ORI->NAT	S	S	Mais de 20 pessoas foram mordidas por palometas (Serrasalmus spilopleura, espécie de piranha) que vivem nas águas da barragem Sanchuri, na margem da Br-472, a 40 quilômetros da cidade.	As palometas vivem nas águas da barragem Sanchuri, na margem da Br-472, a 40 quilômetros da cidade.
1	ORI->NAT	N	N	-- Os ataques se tornaram mais freqüentes.	-- Os ataques se tornaram mais freqüentes.
1	ORI->NAT	N	N	Por isso, aconselhamos mais cautela -- diz o subprefeito Nei Pinto.	Por isso, aconselhamos mais cautela -- diz o subprefeito Nei Pinto.
1	ORI->NAT	N	N	As mordidas em pés e canelas de banhistas não são novidade.	As mordidas em pés e canelas de banhistas não são novidade.
1	ORI->NAT	S	N	O que chamou a atenção das autoridades foi o aumento no número de ataques em relação aos outros anos.	O aumento no número de ataques em relação aos outros anos chamou a atenção das autoridades.
