production_id	level	changed	split	sentence_text_from	sentence_text_to
1	ORI->STR	S	S	As salas de cinema de todo o mundo exibiam uma produção do diretor Joe Dante em que um cardume de piranhas escapava de um laboratório militar e atacava participantes de um festival aquático.	As salas de cinema de todo o mundo exibiam um filme do diretor Joe Dante.
1	ORI->STR	S	S	As salas de cinema de todo o mundo exibiam uma produção do diretor Joe Dante em que um cardume de piranhas escapava de um laboratório militar e atacava participantes de um festival aquático.	No filme, um cardume de piranhas escapava de um laboratório militar.
1	ORI->STR	S	S	As salas de cinema de todo o mundo exibiam uma produção do diretor Joe Dante em que um cardume de piranhas escapava de um laboratório militar e atacava participantes de um festival aquático.	O cardume de piranhas atacava participantes de um festival aquático.
1	ORI->STR	S	S	Mais de 20 pessoas foram mordidas por palometas (Serrasalmus spilopleura, espécie de piranha) que vivem nas águas da barragem Sanchuri, na margem da Br-472, a 40 quilômetros da cidade.	Palometas (espécie de piranha) morderam mais de 20 pessoas.
1	ORI->STR	S	S	Mais de 20 pessoas foram mordidas por palometas (Serrasalmus spilopleura, espécie de piranha) que vivem nas águas da barragem Sanchuri, na margem da Br-472, a 40 quilômetros da cidade.	As palometas vivem nas águas da barragem Sanchuri.
1	ORI->STR	S	S	Mais de 20 pessoas foram mordidas por palometas (Serrasalmus spilopleura, espécie de piranha) que vivem nas águas da barragem Sanchuri, na margem da Br-472, a 40 quilômetros da cidade.	A barragem Sanchuri fica na margem da Br-472.
1	ORI->STR	S	S	Mais de 20 pessoas foram mordidas por palometas (Serrasalmus spilopleura, espécie de piranha) que vivem nas águas da barragem Sanchuri, na margem da Br-472, a 40 quilômetros da cidade.	A barragem Sanchuri fica a 40 quilômetros da cidade.
1	ORI->STR	S	S	Ele e amigos, como Giovane Silva Ferreira, 13 anos, passam as tardes pescando o peixe, depois levado para uma associação de artesãos que faz o curtimento da pele do animal.	Ele e amigos passam as tardes pescando o peixe.
1	ORI->STR	S	S	Ele e amigos, como Giovane Silva Ferreira, 13 anos, passam as tardes pescando o peixe, depois levado para uma associação de artesãos que faz o curtimento da pele do animal.	Em seguida, eles levam o peixe para uma associação de artesãos.
1	ORI->STR	S	S	Ele e amigos, como Giovane Silva Ferreira, 13 anos, passam as tardes pescando o peixe, depois levado para uma associação de artesãos que faz o curtimento da pele do animal.	A associação de artesãos faz o curtimento da pele do peixe.
1	ORI->STR	S	S	Com o fim da piracema, período em que a pesca é proibida, será realizado no domingo o torneio Combate à Palometa.	A piracema é o período de pesca proibida.
1	ORI->STR	S	S	Pescadores tentarão retirar o maior número de peixes da espécie, que pode atingir 20 centímetros de comprimento e um quilo.	Pescadores tentarão retirar o maior número de palometas.
1	ORI->STR	S	S	Pescadores tentarão retirar o maior número de peixes da espécie, que pode atingir 20 centímetros de comprimento e um quilo.	A palometa pode atingir 20 centímetros de comprimento e um quilo.
1	ORI->STR	S	S	Segundo o chefe substituto do escritório regional, Guaracy Cunha, ainda há tempo para o pedido de licença.	O chefe substituto do escritório regional disse que ainda dá tempo de pedir a licença.
1	ORI->STR	S	S	-- Elas atacam mais nos locais em que o pessoal das excursões lava mãos e pratos após as refeições -- diz Adalberto Silva, presidente da associação dos moradores da localidade.	-- Elas atacam mais nos locais em que o pessoal das excursões lava mãos e pratos depois das refeições -- diz Adalberto Silva.
1	ORI->STR	S	S	Silva adquiriu uma tela de retenção com 150 metros, que deve ser instalada para isolar o trecho da barragem mais usado pelos banhistas, com 3,7 mil hectares de área.	Silva comprou uma tela de retenção com 150 metros.
1	ORI->STR	S	S	Silva adquiriu uma tela de retenção com 150 metros, que deve ser instalada para isolar o trecho da barragem mais usado pelos banhistas, com 3,7 mil hectares de área.	A tela deve ser instalada para separar o lugar da barragem mais usado pelos banhistas.
