production_id	level	changed	split	sentence_text_from	sentence_text_to
1	ORI->STR	S	S	As salas de cinema de todo o mundo exibiam uma produção do diretor Joe Dante em que um cardume de piranhas escapava de um laboratório militar e atacava participantes de um festival aquático.	No filme, um cardume de piranhas escapava de um laboratório militar.
1	ORI->STR	S	S	As salas de cinema de todo o mundo exibiam uma produção do diretor Joe Dante em que um cardume de piranhas escapava de um laboratório militar e atacava participantes de um festival aquático.	O cardume de piranhas atacava participantes de um festival aquático.
1	ORI->STR	S	S	Mais de 20 pessoas foram mordidas por palometas (Serrasalmus spilopleura, espécie de piranha) que vivem nas águas da barragem Sanchuri, na margem da Br-472, a 40 quilômetros da cidade.	As palometas vivem nas águas da barragem Sanchuri.
1	ORI->STR	S	S	Mais de 20 pessoas foram mordidas por palometas (Serrasalmus spilopleura, espécie de piranha) que vivem nas águas da barragem Sanchuri, na margem da Br-472, a 40 quilômetros da cidade.	A barragem Sanchuri fica a 40 quilômetros da cidade.
1	ORI->STR	S	S	Ele e amigos, como Giovane Silva Ferreira, 13 anos, passam as tardes pescando o peixe, depois levado para uma associação de artesãos que faz o curtimento da pele do animal.	Ele e amigos passam as tardes pescando o peixe.
1	ORI->STR	S	S	Pescadores tentarão retirar o maior número de peixes da espécie, que pode atingir 20 centímetros de comprimento e um quilo.	A palometa pode atingir 20 centímetros de comprimento e um quilo.
1	ORI->STR	S	S	Segundo o chefe substituto do escritório regional, Guaracy Cunha, ainda há tempo para o pedido de licença.	O chefe substituto do escritório regional disse que ainda dá tempo de pedir a licença.
1	ORI->STR	S	S	-- Elas atacam mais nos locais em que o pessoal das excursões lava mãos e pratos após as refeições -- diz Adalberto Silva, presidente da associação dos moradores da localidade.	-- Elas atacam mais nos locais em que o pessoal das excursões lava mãos e pratos depois das refeições -- diz Adalberto Silva.
1	ORI->STR	S	S	Silva adquiriu uma tela de retenção com 150 metros, que deve ser instalada para isolar o trecho da barragem mais usado pelos banhistas, com 3,7 mil hectares de área.	A tela deve ser instalada para separar o lugar da barragem mais usado pelos banhistas.
2	ORI->STR	S	N	Se a idéia for aprovada, os estudantes receberão dois conjuntos anuais, completados por calçado, meias, calça e camiseta.	Se a idéia for aprovada, os alunos receberão dois conjuntos anuais, completados com calçado, meias, calça e camiseta.
2	ORI->STR	S	S	Como será comprado em quantidade, o boné sairá por R$ 1 ou R$ 2.	Com isso, o boné custará R$ 1 ou R$ 2.
2	ORI->STR	S	S	A divergência ocorre porque educadores como Helvécio Aguiar, da Faculdade de Educação da Universidade Federal do Rio Grande do Sul (UFRGS), afirmam que a peça é desnecessária no uniforme obrigatório.	O desentendimento ocorre porque educadores como Helvécio Aguiar afirmam que o boné não é necessário no uniforme obrigatório.
2	ORI->STR	S	N	Na Federação das Associações de Municípios do RS (Famurs) e na Secretaria Estadual de Educação (Sec), a preocupação reside em outro ponto.	A preocupação da Federação das Associações de Municípios do RS (Famurs) e da Secretaria Estadual de Educação (Sec) é outra.
2	ORI->STR	S	N	Eles se inquietam com a fonte para custear os gastos milionários com a medida.	A preocupação é com o dinheiro para pagar os gastos de milhões de reais com os bonés.
2	ORI->STR	S	S	O projeto prevê a criação do Programa Nacional de Uniforme Escolar para que o Palácio do Planalto ajude Estados e municípios, mas mantém as dúvidas se as verbas serão suficientes.	O projeto prevê a criação do Programa Nacional de Uniforme Escolar para que o governo federal ajude Estados e municípios.
2	ORI->STR	S	N	Não fosse o aspecto financeiro, o projeto teria o apoio incondicional de Balzano e do presidente da Famurs, Flávio Luiz Lammel.	Se não fosse o problema de dinheiro, o projeto teria o apoio total de Balzano e do presidente da Famurs.
2	ORI->STR	S	S	Com a oferta do uniforme, as escolas públicas poderão torná-lo obrigatório, o que eliminaria a roupa como um indicador de diferenças sociais nas escolas e não criaria constrangimento aos alunos mais pobres.	Com isso, a roupa deixaria de ser um indicador de diferenças sociais nas escolas e não criaria vergonha nos alunos mais pobres.
2	ORI->STR	S	N	O foco principal da resistência vem dos próprios estudantes:	A principal resistência vem dos próprios alunos:
2	ORI->STR	S	S	Uma parcela critica o uniforme, porque acredita que ele ameaçaria a individualidade de cada um.	Alguns acreditam que o uniforme ameaça a individualidade de cada um.
3	ORI->STR	S	S	Para complicar ainda mais a situação dos militares dos EUA no Iraque, uma nova denúncia de massacre de civis por suas tropas veio à tona ontem.	Uma nova denúncia de matança de civis por tropas dos EUA surgiu ontem.
3	ORI->STR	S	S	Corpos de crianças e adultos iraquianos crivados de balas, alguns com tiros na cabeça.	A vila de Ishaqi fica a 80 quilômetros ao norte de Bagdá.
3	ORI->STR	S	S	-- Parece que o assassinato de civis iraquianos transformou-se em um fenômeno cotidiano e banal -- disse o presidente da Associação Iraquiana dos Direitos Humanos, Muayed al-Anbaki.	-- Parece que o assassinato de civis iraquianos transformou-se em um fenômeno comum e banal -- disse o presidente da Associação Iraquiana dos Direitos Humanos.
